,announced
4002,2000
4003,2000
4004,1999
4005,1999
4006,1999
4084,2012
4293,2007
4382,2003
4399,2003
4400,2003
4401,2003
4407,2003
4411,2003
4414,2002
4415,2002
4416,2002
4417,2002
4418,2002
4421,2001
4422,2002
4424,2002
4425,2001
4426,2002
4427,2001
4428,2001
4429,2001
4430,2001
4431,2000
4432,2001
4433,2000
4434,2000
4435,2000
4437,2000
4438,2000
4439,2000
4440,2000
4441,1999
4442,1998
4443,1998
4444,1997
4445,1997
4446,1997
4447,1997
4448,1997
4449,1998
4450,1998
4451,1999
4452,1999
4453,1999
4454,1999
4455,1999
4456,1999
4457,1998
4465,2006
4466,2005
4522,2003
4524,2003
4525,2003
4526,2003
4527,2002
4528,2002
4529,2001
4530,2001
4531,2000
4532,2000
4533,1999
4534,1999
4535,1997
4538,2003
4973,2003
4978,2002
4979,2002
4980,2002
4981,2002
4982,2002
4983,2002
4991,2001
4992,2001
4993,2001
4994,2001
4995,2000
4996,2000
4997,2000
4998,2000
4999,1999
5000,1999
5001,2000
5002,1998
5003,2000
5005,1999
5006,1998
5007,1999
5008,1998
5009,1998
5010,1998
5011,1998
5012,1997
5013,1998
5014,1995
5060,2003
5061,2003
5062,2003
5120,2013
5127,2014
5133,2011
5135,2011
5136,2011
5137,2011
5138,2011
5144,2011
5159,2003
5160,2002
5247,2002
5248,2001
5249,2001
5250,2001
5251,2000
5252,2000
5253,1999
5254,1999
5255,1999
5256,1998
5321,2004
5322,2004
5323,2004
5324,2004
5325,2004
5326,2003
5327,2003
5328,2003
5543,2002
5544,2002
5545,2002
5546,2002
5547,2002
5548,2002
5549,2001
5550,2000
5551,2000
5552,2000
5553,2000
5554,2000
5555,2000
5556,1999
5557,2000
5558,2000
5559,1999
5560,1999
5561,1999
5562,1999
5563,1997
5564,1997
5565,1996
5605,2013
5611,2013
5686,2014
5687,2014
5688,2014
5700,2013
5701,2013
5702,2013
5703,2013
5704,2013
5705,2013
5706,2013
5707,2013
5708,2013
5709,2013
5710,2013
5711,2013
5712,2013
5713,2013
5714,2013
5715,2013
5716,2013
5717,2013
5718,2013
5719,2013
5720,2013
5721,2013
5722,2013
5723,2013
5724,2013
5725,2013
5726,2013
5727,2013
5728,2013
5729,2013
5730,2013
5731,2013
5732,2013
5733,2013
5734,2013
5735,2013
5736,2013
5737,2013
5738,2013
5739,2013
5740,2013
5741,2013
5840,2003
5937,2002
5938,2002
5939,2002
5940,2002
5941,2001
5942,2001
5943,2001
5944,2001
5945,2001
5946,2001
5947,2001
5948,2001
5949,2000
5950,2000
5951,2000
5952,2000
5953,2000
5954,1999
5955,1999
5956,1999
5957,1998
5958,1998
5959,1998
5960,1998
5961,1997
6052,2015
6191,2013
6269,2012
6291,2012
6295,2012
6346,2011
6351,2011
6367,2011
6421,2011
6425,2011
6449,2011
6452,2011
6453,2011
6483,2011
6879,2007
7023,2003
7033,2003
7034,2003
7037,2002
7038,2002
7039,2002
7041,2002
7042,2002
7043,2002
7044,2002
7045,2002
7046,2001
7047,2001
7048,2001
7050,2001
7051,2001
7052,2001
7053,2001
7054,2001
7055,2001
7056,2001
7057,2000
7058,2000
7059,2000
7060,2000
7061,1999
7062,1999
7063,1999
7064,2000
7083,2000
7104,2002
7105,2002
7106,2002
7107,2002
7115,2012
7148,2004
7190,2004
7212,2003
7217,2002
7223,2001
7224,2001
7225,2001
7226,2001
7227,2001
7229,2000
7230,2001
7231,2000
7232,2000
7233,2000
7234,2000
7235,2001
7236,2000
7237,2000
7238,1999
7239,2000
7240,2000
7241,1999
7242,1999
7243,1998
7244,1998
7245,1998
7246,1998
7247,1998
7367,2001
7368,2000
7369,2000
7370,2000
7371,1999
7372,1997
7373,1997
7374,1997
7375,1997
7586,2014
7587,2014
7638,2011
7639,2011
7640,2011
7641,2011
7642,2011
7643,2011
7644,2011
7645,2011
7646,2011
7647,2011
7698,2011
7706,2011
7722,2011
7742,2003
7743,2003
7744,2003
7745,2002
7770,2002
7772,2002
7773,1999
7774,1999
7775,1999
7776,1999
7777,1999
7842,2013
7843,2013
7858,2005
7859,2004
7860,2003
7924,2013
7925,2013
7926,2013
7928,2013
7931,2013
7932,2013
7933,2013
7934,2013
7935,2013
7936,2013
7937,2013
7938,2013
7939,2013
7940,2013
7941,2013
7942,2013
7943,2012
7953,2012
7957,2012
7958,2012
7963,2011
7967,2011
7968,2011
7969,2011
7970,2011
7971,2011
7972,2011
7973,2011
7974,2011
7975,2011
7976,2011
7977,2011
7978,2011
7979,2011
7980,2011
7981,2011
7982,2011
7983,2011
7984,2011
7985,2011
7986,2011
7987,2011
8020,2014
8021,2013
8022,2014
8023,2014
8026,2013
8027,2013
8080,2013
8082,2013
8088,2012
8165,2014
8226,2013
8258,2014
8471,2015
8568,2012
8586,2011
8593,2011
